Size;insertOrigin.Time;shakerOrigin.Time;insertBest.Time;shakerBest.Time;
100;0;0;0;0;
200;0;0;0;0;
300;0;0;0;0;
400;0;1;0;0;
500;0;1,6;0;0;
600;0;1,4;0;1;
700;0,2;1,8;0;1,6;
800;1;1,2;0;1;
900;1;2;0;1;
1000;1;3,4;0;1,4;
1100;1;3,8;0;1,4;
1200;1;4,8;0;2;
1300;1;4,4;0;2,6;
1400;1;6,8;0;2;
1500;1;8,6;0;3;
1600;1,2;7,8;0;3;
1700;2;8;0;3,4;
1800;2;9,2;0;3;
1900;2,8;11,8;0;4;
2000;3,6;12,4;0;4,2;
2100;4,4;17;0;7,2;
2200;4,4;17,6;0;5,6;
2300;4,2;17,8;0;7,8;
2400;4;21,2;0;7,8;
2500;4,2;23;0;9;
2600;6;25,2;0;8,6;
2700;6,4;25,2;0;9,2;
2800;6;30,2;0;11,8;
2900;7,4;31;0;11,6;
3000;9,2;34,2;0;12,2;
3100;7,6;36,2;0;15;
3200;8,8;35,4;0;16,2;
3300;8,2;37,4;0;14,6;
3400;13,6;40,4;0;15,8;
3500;9,2;42,2;0;21;
3600;9;46;0;16,2;
3700;15,6;50,2;0;21,2;
3800;17,4;51;0;24,6;
3900;11;52,2;0;20,8;
4000;17;57;0;21,6;
4100;15;56,2;0;22,2;
4200;16,4;61,8;0;29,8;
4300;17,2;61,4;0;28,8;
4400;21,8;72,2;0;30,6;
4500;18,8;66,2;0;27;
4600;15,4;67,6;0;28,8;
4700;22,6;77,2;0;29;
4800;25;76,4;0;34,4;
4900;21,6;88,6;0;31,2;
5000;22,2;84;0;34;
5100;20,4;91,8;0;43,2;
5200;22,4;93,4;0;36,6;
5300;22,2;96,6;0;36,2;
5400;21,2;113,8;0;39,2;
5500;24,8;99,6;0;42,2;
5600;28;102,4;0;44,2;
5700;31;114;0;42;
5800;26,6;116,6;0;44,8;
5900;34;126,2;0;48;
6000;33,6;123,4;0;54,6;
6100;29,4;123;0,6;55,2;
6200;33,2;131,2;0;52,2;
6300;33,2;141,4;0;53,2;
6400;32,2;133;0;53,2;
6500;33,6;135,8;0;56,2;
6600;33;140,4;0;57,8;
6700;38;150,2;0;70;
6800;42,2;157,2;0;63,8;
6900;47,4;167;0;64;
7000;47,4;173,2;0;68;
7100;52;171,2;0;73,4;
7200;48,4;177,8;0;77,2;
7300;44;170;0;80,8;
7400;48,2;177,2;0;76,6;
7500;45,4;198,8;0;87;
7600;51;190,4;0;74,6;
7700;46,4;200,8;0;77;
7800;60,6;188;0;95,2;
7900;50,6;212,6;0;96,8;
8000;57,4;200,6;0;95;
8100;56,8;219,6;0;95;
8200;54,8;223,6;0;103,8;
8300;65,4;254;0;102;
8400;58;258;0;101,2;
8500;59,4;256,4;0;98,8;
8600;59,4;249,6;0;92,8;
8700;60,4;247,6;0;93,6;
8800;78;266,8;0;95,8;
8900;69,8;263,8;0;99,8;
9000;74,4;264,6;0;106,6;
9100;77,4;282,4;0;108;
9200;83,8;296;0;113,8;
9300;69,4;329,8;0;115,8;
9400;73,2;296;0;119,6;
9500;81;284,8;0;126,8;
9600;86,2;331,6;0;122,6;
9700;85,8;311,4;0;122,8;
9800;73,6;337,2;0;126,4;
9900;98,6;364;0;122,8;
10000;80,2;320,6;0;128,8;
